Code,Function,Heated
51001_1008,"Sende-,Funkturm",f
51001_1009,"Stadt-,Torturm",f
51001_1010,Förderturm,f
51001_1011,Bohrturm,f
51001_1012,"Schloss-, Burgturm",f
51001_9998,Nach Quellenlage nicht zu spezifizieren,f
51001_9999,Sonstiges,f
51002_1215,Biogasanlage,f
51002_1220,Windrad,f
51002_1230,Solarzellen,f
51002_1250,Mast,f
51002_1251,Freileitungsmast,f
51002_1260,Funkmast,f
51002_1280,Radioteleskop,f
51002_1290,Schornstein,f
51002_1330,Kran,f
51002_1331,Drehkran,f
51002_1332,Portalkran,f
51002_1333,Laufkran,f
51002_1350,Hochofen,f
51002_1400,Umformer,f
51002_9999,Sonstiges,f
51003_1201,Silo,f
51003_1205,Tank,f
51003_1206,Gasometer,f
51003_9999,Sonstiges,f
51006_1430,Zuschauertribüne,f
51006_1431,"Zuschauertribüne, überdacht",f
51006_1432,"Zuschauertribüne, nicht überdacht",f
51006_1440,Stadion,f
51006_1441,"Stadion, überdacht",f
51006_1442,"Stadion, nicht überdacht",f
51006_1470,Sprungschanze (Anlauf),f
51006_1490,Gradierwerk,f
51006_9999,Sonstiges,f
51007_1110,Aquädukt,f
51007_1210,Wachturm,f
51007_1400,Befestigung (Burgruine),f
51007_1500,Historische Mauer,f
51007_1510,Stadtmauer,f
51007_1520,Sonstige historische Mauer,f
51007_9999,Sonstiges,f
51009_1610,Überdachung,f
51009_1611,Carport,f
51009_1700,Mauer,f
51009_1750,Denkmal,f
51009_9999,Sonstiges,f
52003_1010,Schiffshebewerk,f
52003_1020,Kammerschleuse,f
53001_1800,Brücke,f
53001_1806,Drehbrücke,f
53001_1807,Hebebrücke,f
53001_1808,Zugbrücke,f
53001_1830,"Hochbahn, Hochstraße",f
53001_1890,Schleusenkammer,f
53009_2030,Staumauer,f
53009_2050,Wehr,f
53009_2060,Sicherheitstor,f
53009_2070,Siel,f
53009_2080,Sperrwerk,f
53009_2090,Schöpfwerk,f
